-95.98   36.15
-92.3333   34.7333
-71.4   41.83
-121.5   38.58
-108.55   39.08
-119.8   36.73
-81.8   24.55
-149.9   61.22
-90.1833   38.6333
-96.15   19.1833
-97.12   49.9
-83.55   41.65
-85.67   42.97
-97.32   32.72
-74.17   40.73
-93.7   32.47
-89.6301   44.9591
-106.65   35.08
-115.2   36.17
-93.62   41.58
-119.82   39.5
-82.45   27.95
-86.78   36.17
-98.2667   19.05
-67   44.9
-75.97   36.85
-97.73   30.27
-70.25   43.67
-111.68   35.22
-89.589   40.6936
-71.5   43
-123.08   44.05
-99.1333   19.4333
-81.08   32.08
-96.73   43.55
-90.4667   49.05
-73.75   42.67
-80.2   25.77
-105.95   35.68
-75.72   45.4
-122.33   47.62
-75.17   39.95
-122.68   45.52
-81.67   30.37
-72.57   42.1
-81.62   41.47
-97.28   37.72
-105.52   50.62
-121.73   42.17
-85.77   38.25
-96.8   46.87
-118.18   33.77
-106.48   31.77
-122.27   37.8
-117.43   47.67
-90.05   35.15
-86.3   32.35
-81.63   38.35
-83.02   40
-90.2   38.58
-72.53   44.25
-77.95   34.23
-95.35   29.75
-165.5   64.42
-89.1833   13.6833
-111.9   40.77
-76.5   44.25
-85.1333   41.0833
-117.83   44.78
-92.2667   14.9
-89.25   48.3833
-90.2   32.33
-93.05   34.52
-86.17   39.77
-113.47   53.57
-90.2179   38.0095
-93.28   37.22
-96.77   32.77
-86.83   33.5
-68.78   44.8
-89.771   43.6275
-105   39.75
-94.58   39.1
-116.22   43.6
-112.02   43.5
-83.93   35.95
-115.55   32.63
-88.05   30.7
-122.43   37.78
-121.88   37.33
-117.28   49.5
-117.03   46.4
-79.95   37.28
-123.1   49.22
-89.63   39.8
-79.4   43.67
-81.3   28.4167
-157.83   21.3
-84.5   39.13
-123.35   48.42
-73.97   40.78
-73.58   45.5
-98.55   29.38
-66.17   18.5
-80.83   35.23
-83.05   42.33
-104.87   41.15
-112.08   38.77
-88.7667   17.25
-100.35   44.37
-97.47   35.43
-77.03   38.88
-76.13   43.03
-90.67   42.52
-87.92   43.03
-118.25   34.05
-91.5667   14.8333
-134.4   58.3
-97.8667   22.25
-77.48   37.55
-101.83   35.18
-90.07   29.95
-93.23   44.98
-95.93   41.25
-76.63   39.3
-92.08   46.82
-104.25   32.43
-72.92   41.32
-112.07   33.48
-84.38   33.75
-81.03   34
-87.62   41.83
-89.6167   20.9667
-112.03   46.58
-78.65   35.77
-96.67   40.83
-114.02   51.02
-79.93   32.78
-100.78   46.8
-135.25   57.17
-109.72   48.55
-117.17   32.7
-90.5333   14.8333
-78.83   42.92
-81.57   43.03
-99.8833   16.8667
-71.18   46.82
-71.08   42.35
-66.17   45.3
